FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2023-10-01,0.280,0.000,0.000,0.000
2023-10-02,0.420,0.000,0.000,0.000
2023-10-05,0.000,0.000,0.150,0.000
2023-10-06,0.000,0.010,0.060,0.080
2023-10-07,0.100,0.110,0.130,0.150
2023-10-08,0.170,0.000,0.000,0.000
2023-10-09,0.220,0.150,0.110,0.070
2023-10-10,0.040,0.030,0.030,0.020
2023-10-14,0.000,0.000,0.000,0.050
2023-10-15,0.000,0.000,0.000,0.000
2023-10-16,0.410,0.420,0.440,0.460
2023-10-17,0.580,0.600,0.650,0.680
2023-10-18,0.730,0.750,0.750,0.780
2023-10-19,0.920,1.060,1.160,1.280
2023-10-20,1.350,1.350,1.370,1.380
2023-10-21,1.390,1.390,1.380,1.350
2023-10-22,1.340,0.000,0.000,0.000
2023-10-23,1.290,1.280,1.260,1.260
2023-10-24,1.240,1.250,1.300,1.380
2023-10-25,1.370,1.350,1.350,1.340
2023-10-26,1.330,1.330,1.320,1.320
2023-10-27,1.300,1.290,1.290,1.280
2023-10-28,1.250,1.240,1.240,1.220
